StartDate,EndDate,Consent_Q1,Consent_Q2,Donation1_SELF,Donation1_HELP,Donation1_JUSTICE,Donation1_EDUCATION,Donation1_ANIMALS,Donation1_NATURE,Donation1_ART,Donation1_SCIENCE,Donation2_SELF,Donation2_HELP,Donation2_JUSTICE,Donation2_EDUCATION,Donation2_ANIMALS,Donation2_NATURE,Donation2_ART,Donation2_SCIENCE,Taste_Possibility,GoodTaste_Def,BadTaste_Def,NoTaste_Justification,GoodTaste_Example,BadTaste_Example,Domains_Distinction1_Beer,Domains_Distinction1_Car,Domains_Distinction1_Clothing,Domains_Distinction1_ComicBooks,Domains_Distinction1_Food,Domains_Distinction1_GraphicDesign,Domains_Distinction1_InteriorDesign,Domains_Distinction1_Jewelry,Domains_Distinction1_Literature,Domains_Distinction1_Marijuana,Domains_Distinction1_Movies,Domains_Distinction1_Music,Domains_Distinction1_Paintings,Domains_Distinction1_Sculpture,Domains_Distinction1_Sports,Domains_Distinction1_TVshows,Domains_Distinction1_Videogames,Domains_Distinction1_Wine,Domains_Distinction1_Wrestling,Domains_Distinction2_Beer,Domains_Distinction2_Car,Domains_Distinction2_Clothing,Domains_Distinction2_Comicbooks,Domains_Distinction2_Food,Domains_Distinction2_GraphicDesign,Domains_Distinction2_InteriorDesign,Domains_Distinction2_Jewelry,Domains_Distinction2_Literature,Domains_Distinction2_Marijuana,Domains_Distinction2_Movies,Domains_Distinction2_Music,Domains_Distinction2_Paintings,Domains_Distinction2_Sculpture,Domains_Distinction2_Sports,Domains_Distinction2_TVshows,Domains_Distinction2_Videogames,Domains_Distinction2_Wine,Domains_Distinction2_Wrestling,Importance_Beer,Importance_Car,Importance_Clothing,Importance_Comicbooks,Importance_Food,Importance_GraphicDesign,Importance_InteriorDesign,Importance_Jewelry,Importance_Literature,Importance_Marijuana,Importance_Movies,Importance_Music,Importance_Paintings,Importance_Sculpture,Importance_Sports,Importance_TVshows,Importance_Videogames,Importance_Wine,Importance_Wrestling,CHECK1,Improvement,Improve_Possible,Improve_Impossible,Preferences_Beethoven,Preferences_MileyCirus,Preferences_CitizenKane,Preferences_Marvel,Preferences_Cognac,Preferences_JackDaniel,Preferences_Busts,Preferences_Eiffel,CHECK2,Knowledge_Beer,Knowledge_Car,Knowledge_Clothing,Knowledge_Comicbooks,Knowledge_Food,Knowledge_GraphicDesign,Knowledge_InteriorDesign,Knowledge_Jewelry,Knowledge_Literature,Knowledge_Marijuana,Knowledge_Movies,Knowledge_Music,Knowledge_Paintings,Knowledge_Sculpture,Knowledge_Sports,Knowledge_TVshows,Knowledge_Videogames,Knowledge_Wine,Knowledge_Wrestling,IRL_Q1,IRL_Q2_HELP,IRL_Q2_JUSTICE,IRL_Q2_SCIENCE,IRL_Q2_ART,IRL_Q2_NATURE,IRL_Q2_EDUCATION,IRL_Q2_ANIMALS,BM_General_1,BM_General_2,BM_General_3,BM_General_4,BM_General_5,BM_General_6,BM_General_7,BM_General_8,BM_General_9,BM_General_10,CHECK3,CHECK4,DPES_1,DPES_2,DPES_3,DPES_4,DPES_5,DPES_6,DPES_7,DPES_8,DPES_9,DPES_10,DPES_11,DPES_12,DPES_13,DPES_14,DPES_15,DPES_16,DPES_17,DPES_18,DPES_19,DPES_20,DPES_21,DPES_22,DPES_23,DPES_24,DPES_25,DPES_26,DPES_27,DPES_28,DPES_29,DPES_30,DPES_31,DPES_32,DPES_33,DPES_34,DPES_35,DPES_36,DPES_37,DPES_38,Gratitude_1,Gratitude_2,Gratitude_3,Gratitude_4,Gratitude_5,Gratitude_6,Age,Gender,Gender_3_TEXT,NativeLanguage,Country1,Country2,Student,Profession,EducationLevel,EducationLevel_Coded,EducationLevel_3_TEXT,EducationLevel_4_TEXT,EducationLevel_5_TEXT,EducationLevel_6_TEXT,ParentEducation,ParentEducation_Coded,ParentEducation_3_TEXT,ParentEducation_4_TEXT,ParentEducation_5_TEXT,ParentEducation_6_TEXT,Political,Art_1,Art_2,Art_3,Art_4,Art_5,Code
2021-02-01 15:48:16,2021-02-01 16:06:15,YES,YES,,,,,,,,,100,0,0,0,0,0,0,0,YES,I mean that that person it unique in the things they like. That their taste is elegant and easy to look at/listen to. It means I also like what that person likes. ,That their taste is something that is tacky or annoying. That close to no one likes what they like. Or that their taste is basic and derived from other peoples opinions rather than their own. ,,No one in particular. But people that have homes that always looks clean and organized no matter how much or how little stuff they have. Someone whos music taste always pleases the people around them. ,"My own mother to be frank. She has a tacky sense of taste when it comes to decorating her home. This is also why I, myself, have very bad decorating skills. ",2,-3,3,3,-1,3,3,3,3,-1,3,3,1,3,-3,2,-2,3,-3,,,,,,,,,,,,,,,,,,,,0,0,6,0,0,6,5,6,0,0,0,0,2,2,0,0,0,0,0,0,YES,By putting themselves out there to experience different types of whatever. By learning how to appreciate things they normally wouldnt. And learning how to coordinate colors or sounds.,,0,1,0,0,0,-3,1,-1,2,0,0,0,0,4,0,0,0,0,5,4,6,0,0,0,6,5,0,0,No,,,,,,,,2,2,3,1,1,1,2,2,1,2,1,5,3,2,3,1,1,1,1,1,1,1,1,1,2,2,6,1,1,1,1,1,3,3,6,7,3,1,3,2,2,2,5,1,3,3,2,1,1,1,5,4,5,5,5,3,23,A woman,,english,usa,usa,No,phlebotomist,Some college or university...       In which field?,3,phlebotomy ,,,,,,,,,,2,0,0,0,0,0,I have received my code.
2021-02-01 15:48:35,2021-02-01 16:06:40,YES,YES,,,,,,,,,40,10,20,0,20,10,0,0,YES,In these situations they are typically talking about things I have my own opinion on. I think of good taste to be someone who has a reasonable take on a given topic.,The opposing view is not necessarily equal to bad taste in this scenario. Bad taste would be when I would deem someone having an unreasonable take or opinion on a given topic.,,"A friend of mine who doesn't like listening to metal music but who understands the value in it. He also understands the difficulty in performing and how there is a type of music for everyone. This is an example where I would completely disagree with their opinion, but that doesn't necessarily mean they have bad taste. They also enjoy other forms of music that I also enjoy.",My neighbor who holds the opinion that dangerous forms of media (such as metal music) directly lead to violence. This viewpoint is incredibly nonsensical because it doesn't even consider the possibility of someone enjoying one of those forms of media not conducting violence. This can easily be disproven by providing a single example.,-1,-2,2,3,-3,1,-1,-1,3,-3,3,3,-2,0,-3,3,3,-3,-1,,,,,,,,,,,,,,,,,,,,0,0,4,3,0,2,4,0,3,0,3,5,0,0,0,3,4,0,0,0,YES,Growing over time gives people varied perspectives. These perspectives can influence their opinion on a given topic which can make it more reasonable. ,,-3,-3,-3,-3,-3,-3,-3,-3,2,0,1,2,2,1,4,1,0,2,0,6,4,1,0,2,4,6,0,6,Yes,"Ones that seek to help people in need (e.g. by giving food, shelter, or providing medical care)",Ones that defend the rights of vulnerable and oppressed people (e.g. by providing legal assistance or pushing new legislations),Ones that promote science and knowledge (e.g. by funding research or promoting popular science events),,"Ones that seek to protect or restore nature (e.g. fighting pollution, saving endangered species, preserving natural landscapes)",,Ones that seek to protect animals (e.g. by developing and funding shelters or fighting against animal exploitation),2,2,4,2,2,2,2,2,3,3,1,5,2,3,5,2,2,3,4,4,3,2,5,2,1,3,3,1,4,4,5,2,4,3,6,5,6,1,5,6,4,5,6,2,1,3,1,1,5,6,4,5,3,5,6,4,23,A man,,English,United States,United States,No,Technical Support Representative,College or university degree. In which field?,4,,Cybersecurity,,,,,,,,,1,1,0,0,0,2,I have received my code.
2021-02-01 16:01:05,2021-02-01 16:17:12,YES,YES,,,,,,,,,85,5,0,0,5,5,0,0,YES,good taste in my opinion would mean that it is a logical and understandable as to why they like it. Their likings is well received from the population.,"Bad taste in my opinion meams that the said perspn appreciate something that is obscene, gross, and that most people wouldn't be drawn to.",,"My husband has good taste in a way that he enjoy stuff that isn't gross or annoying. Everytime he showse something new, its always something that is beautiful or well thought of.",A friend of my husbamd has bad taste in a way that he watches porn a lot and watches a lot of obscene stuff. I don't see any way that this could be seen as something else other than bad taste. There is nothing artistic or knowledgeable about what he watches.,-3,-1,1,-2,2,3,1,0,3,2,0,3,3,3,-1,2,3,-3,-2,,,,,,,,,,,,,,,,,,,,0,0,4,0,5,4,2,1,5,4,6,5,4,4,0,5,6,0,0,0,YES,"By getting to learn about different types of art, music, and such. By getting out of your bubble amd learning and opening your mind, some people get to improve their taste.",,2,-3,-3,-3,-3,-3,0,-2,2,0,0,4,0,6,1,2,1,3,4,3,3,2,1,0,3,6,0,0,Yes,"Ones that seek to help people in need (e.g. by giving food, shelter, or providing medical care)",,,,"Ones that seek to protect or restore nature (e.g. fighting pollution, saving endangered species, preserving natural landscapes)",,,3,4,1,2,2,1,1,3,3,4,1,5,3,3,4,2,4,4,3,2,2,2,3,2,2,3,3,3,3,2,2,5,4,2,7,7,4,4,6,5,5,3,3,6,2,3,2,3,5,1,7,3,1,6,6,2,27,A woman,,french,United States ,Canada,Yes,,College or university degree. In which field?,4,,Early Childhood Education,,,High school,2,,,,,2,1,0,0,0,0,I have received my code.
2021-02-01 16:00:11,2021-02-01 16:18:26,YES,YES,10,15,15,15,10,15,10,10,,,,,,,,,NO,,,I'm really trying hard not to make this kind of judgment. Aesthetic taste is very subjective and can also evolve over time.,,,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,YES,"Improve, in this context, means to me evolve and become more knowledgeable and refined compared to their earlier taste, not necessarily compared to other people given the subjective nature of taste.",,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,1,0,1,0,3,1,1,0,1,2,0,2,0,Yes,"Ones that seek to help people in need (e.g. by giving food, shelter, or providing medical care)",Ones that defend the rights of vulnerable and oppressed people (e.g. by providing legal assistance or pushing new legislations),Ones that promote science and knowledge (e.g. by funding research or promoting popular science events),"Ones that promote art and culture (e.g. by funding artists, exhibition, concerts, art festivals, restoring works of art)","Ones that seek to protect or restore nature (e.g. fighting pollution, saving endangered species, preserving natural landscapes)",Ones that seek to foster education (e.g. by helping children to get some education or by developing new educational programs),Ones that seek to protect animals (e.g. by developing and funding shelters or fighting against animal exploitation),4,4,2,3,2,3,3,4,4,5,1,5,5,6,5,6,6,6,6,6,6,5,6,6,6,7,7,6,6,6,6,7,6,6,7,7,7,6,6,6,1,6,2,3,6,6,6,4,6,6,6,7,1,6,7,1,44,A woman,,"English, German",United States,Germany,No,Project manager,"Graduate degree, Masters. In which field?",5,,,Linguistics,,,,,,,,1,1,1,1,1,1,I have received my code.
2021-02-01 15:59:34,2021-02-01 16:21:40,YES,YES,,,,,,,,,65,5,5,5,5,5,5,5,YES,This person can distinguish good art from bad art. This person has seen and learned a lot in this professional area.,Lack of art training.,,"When decorating homes, this person can value small items that look simple on its own but would complete the picture when put together with other items. The whole picture would look comfortable and not tacky.","This person wants to fit everything together when they don't actually fit together. Usually gives the feeling of ""too much""",2,1,2,-1,-3,3,3,3,-1,0,1,1,1,-1,-3,1,-3,3,0,,,,,,,,,,,,,,,,,,,,1,0,6,1,4,4,6,6,4,0,5,1,3,0,0,1,0,5,0,0,YES,"learn more, see more, take more classes",,2,0,0,-2,0,0,-1,0,2,0,0,1,0,4,3,0,0,3,0,3,4,1,0,2,4,1,0,0,No,,,,,,,,4,3,1,3,2,2,2,4,5,4,1,5,5,3,5,4,3,4,5,3,6,3,6,3,5,4,3,3,6,3,7,6,6,7,5,5,6,5,5,5,2,7,2,1,7,5,6,5,6,5,7,7,1,7,7,2,22,A woman,,Mandarin,US,China,Yes,,Some college or university...       In which field?,3,Psychology,,,,"Graduate degree, Masters. In which field?",5,,,Engineering,,5,1,0,1,0,1,I have received my code.
2021-02-01 16:10:02,2021-02-01 16:21:46,YES,YES,100,0,0,0,0,0,0,0,,,,,,,,,YES,When I agree with their design opinions and choices. It's when I think what they would like in their home or what they wear is something appreciable to myself.,When I disagree with their design opinion and choices. It can also be when their tastes are out of fashion by quite a lot.,,I believe those around me have the most good taste. ,A few of my professors seems to be a little out of poor taste with the current times. ,-1,-2,2,-3,-2,3,2,3,1,-3,1,2,1,-1,-3,1,-3,-2,-1,,,,,,,,,,,,,,,,,,,,0,0,5,0,0,5,4,5,5,0,5,3,3,0,0,5,3,0,0,0,YES,By taking in the culture around them of the current tastes. This is how I believe they can improve their tastes. ,,0,0,0,0,0,0,0,0,2,0,0,4,0,6,3,5,3,4,3,5,5,5,0,0,5,6,0,0,No,,,,,,,,4,3,2,1,1,4,1,4,4,4,1,5,2,5,4,2,7,6,7,7,6,3,4,7,5,6,7,5,3,5,2,7,6,2,7,7,6,7,6,7,6,1,5,1,2,7,3,7,2,6,7,6,1,6,7,4,20,A man,,"French, English",United States of America,France,Yes,,Some college or university...       In which field?,3,Biomedical Engineering,,,,PhD.           In which field?,6,,,,Chemistry,3,1,1,1,0,2,I have received my code.
2021-02-01 16:03:24,2021-02-01 16:23:37,YES,YES,,,,,,,,,90,1,1,4,1,1,1,1,YES,"As elitist as it may sound, I've associated someone having good taste as someone rather cultured. Their preferences are somewhat subdued, and with a sense of cohesiveness. It's not loud, garish, or pretentious.","The word that comes up to mind when I think of someone having bad taste is ""gaudy."" It can be due to an excessive mishmash of things that have no consideration of design, or even functionality. ",,"The first person that comes to mind is a person named Alice Gao. You may find her on Instagram as alice_gao. I consider her as having good taste based on the aesthetic she presents on her platform -- simple, classy, clean, and minimalist.","I can't think of anyone in particular, but in general, it's those who have no sense of cohesiveness in choosing their aesthetic. There's no sense of restraint. It's all just a bit too much.",-1,-2,3,0,1,2,3,3,3,-2,1,3,3,3,0,1,-1,3,-3,,,,,,,,,,,,,,,,,,,,0,0,4,0,4,4,6,5,5,0,4,6,6,6,2,4,0,4,0,0,YES,"I believe that exposure to high culture can influence someone's taste for the better. It may sound elitist, but as they say, experience (in this case, exposure) is the best teacher.",,2,-2,1,0,0,1,1,-2,2,0,0,4,0,4,4,5,4,4,0,3,6,6,6,0,4,0,4,0,Yes,"Ones that seek to help people in need (e.g. by giving food, shelter, or providing medical care)",,Ones that promote science and knowledge (e.g. by funding research or promoting popular science events),"Ones that promote art and culture (e.g. by funding artists, exhibition, concerts, art festivals, restoring works of art)",,,,5,5,1,5,5,5,4,5,5,5,1,5,5,2,7,3,4,4,3,4,3,4,4,4,4,6,2,4,3,2,1,6,5,4,7,7,5,6,7,3,2,5,3,2,3,5,5,3,2,3,6,5,2,7,6,3,30,A woman,,"Filipino, English",USA,Philippines,No,Medical Intern,PhD.           In which field?,6,,,,Doctor of Medicine,,,,,,,3,2,2,1,0,1,I have received my code.
2021-02-01 16:08:11,2021-02-01 16:25:31,YES,YES,,,,,,,,,60,20,20,0,0,0,0,0,YES,"I think that they make good, stylish choices based on the type of aesthetic that I myself appreciate. They also think in creative ways that complement their choices as a whole.","I think that the person doesn't think very hard about their decision in regards to aesthetic choices. I also think that they may not think about how individual pieces of their choices fit together to form a big picture, as well as never evolving their taste.",,"My best friend has very good taste, he really puts a lot of effort into making sure that things fit together in an appropriate way and cater to his strengths and weaknesses appropriately. He also does a lot of research online to see other people's tastes and tries to incorporate those things into his own stylistic choices.","My father has very poor taste, he would rather get the decision making process over with when it comes to stylistic choices. He also insists on keeping the same type of stylistic choices around him, he never wants to change anything or even try anything different out.",1,-3,3,0,2,3,3,1,0,1,2,3,2,1,-1,2,-3,1,1,,,,,,,,,,,,,,,,,,,,0,0,6,1,3,4,5,0,2,2,4,5,5,2,0,5,0,3,0,0,YES,"By experiencing things that you would not normally be attracted to. You can't really evolve your tastes if you're never trying to challenge yourself or your preconceived notions. You absolutely have to be open minded for this process, you really have to give things a chance before writing them off as something that you dislike.",,-2,0,0,-1,0,-1,-1,0,2,1,0,4,0,4,4,4,0,3,4,4,4,2,0,1,4,5,0,2,Yes,"Ones that seek to help people in need (e.g. by giving food, shelter, or providing medical care)",Ones that defend the rights of vulnerable and oppressed people (e.g. by providing legal assistance or pushing new legislations),,,"Ones that seek to protect or restore nature (e.g. fighting pollution, saving endangered species, preserving natural landscapes)",,,4,4,2,4,3,4,3,5,5,5,1,5,6,6,6,5,3,7,4,3,4,4,4,6,4,6,6,4,7,6,6,7,5,5,7,7,7,6,7,3,4,3,6,3,5,6,5,3,4,7,6,6,2,6,6,2,28,A man,,English,United States,United States,No,Unemployed,High school,2,,,,,,,,,,,1,1,1,0,1,1,I have received my code.
2021-02-01 16:10:20,2021-02-01 16:25:44,YES,YES,,,,,,,,,100,0,0,0,0,0,0,0,YES,"To me, it means someone has a good understanding of what is visually or otherwise appealing. Or that it is socially the most appealing. ","It means that they don’t like what is socially acceptable, or don’t have an understanding of what is acceptable.",,Lady Gaga. She does what is outside of the norm but is a trendsetter.,Taylor swift. She writes about her past relationships and sometimes they are a celebrity so it can look bad on them.,,,,,,,,,,,,,,,,,,,,1,-3,3,2,3,3,3,2,3,-3,3,3,3,3,1,3,3,2,-3,0,0,4,3,5,3,3,1,4,0,3,5,4,4,0,4,4,0,0,0,YES,"By reading about it, or taking a class. Traveling can also broaden someone’s horizons.",,1,-2,0,-2,1,-2,1,-2,2,1,0,4,2,4,0,3,1,4,4,4,5,2,2,1,5,4,0,0,Yes,,Ones that defend the rights of vulnerable and oppressed people (e.g. by providing legal assistance or pushing new legislations),,,"Ones that seek to protect or restore nature (e.g. fighting pollution, saving endangered species, preserving natural landscapes)",,Ones that seek to protect animals (e.g. by developing and funding shelters or fighting against animal exploitation),4,4,1,4,4,4,4,1,1,1,1,5,5,3,3,5,5,3,5,6,4,4,5,5,4,2,5,4,2,2,1,3,3,3,5,4,5,5,5,5,5,5,3,4,5,6,7,4,5,3,6,6,1,4,6,2,30,A woman,,English,USA ,USA ,Yes,,Some college or university...       In which field?,3,General Education,,,,High school,2,,,,,1,1,1,0,2,1,I have received my code.
2021-02-01 16:06:03,2021-02-01 16:26:17,YES,YES,95,1,0,4,0,0,0,0,,,,,,,,,YES,"When I say they have good taste, it usually means that they tends to appreciate subtle details in the object. For example, a person that have a good taste in fashion would dress in a way that elevate their body features and while the fabric/pattern/fit might be eccentric and different then, it would still go together. ","When I say bad taste, it means that the person does not pay attention to the finer details of things and just decide to follow everyone without knowing why they picked it. For example, in fashion, people would pick the worst outfits that despite having unique patterns, they did it in a way that it looks cheap and does not elevate their look.",,"I think my best friend has good taste in art and food. They pay close attention to the subtle details that the artists put into their work and can appreciate the level of depth and details that the artist had. Also in food, while fine dining is not in itself good taste, I think my friend can appreciate unique flavor combinations that most people just hate while they haven't tried them first.","I think in a lot of ways, Lil Wayne is a person with bad taste. His fashion choice is a disaster, as he tries to show off his jewelry full of diamonds without having any meaning besides trying to show off. The outfits he wore always scream cheap and bad fit. I think due to his personality, most of the things he did are in bad taste. ",2,1,2,1,2,2,2,2,2,0,2,2,1,1,1,2,2,2,1,,,,,,,,,,,,,,,,,,,,4,1,6,3,6,6,6,5,5,3,5,6,5,5,1,5,5,4,1,0,YES,I think just being able to pay more attention to the subtle details in those areas can actually elevate a person's perception of things. ,,1,0,0,-1,0,-2,0,-1,2,0,0,5,1,4,3,2,3,2,0,3,4,1,0,1,4,3,1,0,No,,,,,,,,5,4,1,3,3,3,3,5,5,5,1,5,3,3,5,3,2,5,5,3,5,3,3,3,5,5,5,4,3,5,3,5,5,5,5,5,6,5,5,5,3,3,5,3,6,5,3,6,6,5,5,3,3,5,6,5,21,A man,,"Vietnamese, English",United States,Vietnam,Yes,,College or university degree. In which field?,4,,Computer Science,,,"Graduate degree, Masters. In which field?",5,,,Linguistics,,1,1,1,1,2,2,I have received my code.
