Topic,Count,Name,Representation,Representative_Docs
-1,84,-1_taste_good_like_person,"['taste', 'good', 'like', 'person', 'things', 'think', 'art', 'similar', 'music', 'usually']","['I think that it\'s just a knee-jerk phrasing. I usually just mean - when I say that somebody has good taste - that they have a similar taste to me. Like, ""Oh! We could get along!"". That\'s usually what I mean. Ahh most of my friends I guess. I get along with all of them and we like the same things. If I had to name one, like a famous person... Maybe Stanley Kubrick. I think he has good taste in music.', 'Usually, when someone has good taste I consider their likes/dislikes to be similar to mine, because I believe that I have good taste.  I think my partner, Matt, has good taste. He enjoys things like music/art/decor that takes talent to create and brings happiness to himself and others.', 'Someone that has generally liked opinion on certain topics, usually something that aligns with my taste because I like to think my taste is good taste.  They have good taste and they like things that most and I like so they have good taste. My friend, she has taste that aligns with mine and she likes wearing really cool clothes.']"
0,37,0_taste_good_think_say,"['taste', 'good', 'think', 'say', 'enjoy', 'people', 'food', 'like', 'things', 'person']","[""Someone has a good taste in something when they're perceived to like something similar to myself. We see 'good taste' in a certain subject as something that we also enjoy. For example, I would say someone has a good taste in food if I perceive that they like similar foods to me. Having a good taste is subjective and aligns closely with my values. I would say my close friends/roommates have a good taste in much of my daily activities (entertainment, eating), since we have a lot of similarities in that regard. Our interests align, so I would define them as having a good taste."", 'Personally, someone who has good taste means that the taste they have aligns with my knowledge of what a good taste is. To put simply, what I judge to be good taste is good taste to me. I think majority of my close friends have good taste, but especially my best friend. This is because we like the same things, therefore her taste is very similar to my taste.', 'If someone has a good taste, then they like things that many people view are ""good"". It\'s a very subjective thing to have a ""good taste"", I think it depends on how you grew up. In certain areas, it\'d be luxury things or elegant things that are defined as good taste. In other parts, it could just be like something that isn\'t as ""Trendy"" as what most people like. I\'d also say that people with ""good taste"", tend to think on their own and don\'t follow what others like. Myself, and as conceited as it sounds, I truly believe I have good taste compared to most people. I say myself because I really have a an amazingly broad spectrum of things I like compared to most people. Even if there\'s something I dislike, I can find a way to appreciate it, I break down everything into deeper parts and go over it, so I really know what my taste is and why it\'s that way. I can relate to everyone, while being so different from everyone, and I think ""good taste"" features a wide variety of unrelated things you\'d like.']"
1,24,1_things_choices_pleasing_like,"['things', 'choices', 'pleasing', 'like', 'look', 'color', 'colors', 'good', 'choose', 'nice']","[""I think that they make good, stylish choices based on the type of aesthetic that I myself appreciate. They also think in creative ways that complement their choices as a whole. My best friend has very good taste, he really puts a lot of effort into making sure that things fit together in an appropriate way and cater to his strengths and weaknesses appropriately. He also does a lot of research online to see other people's tastes and tries to incorporate those things into his own stylistic choices."", 'The things they like are aesthetically pleasing. They understand how things go together. And they typically do not offend people with the choices they make. My sister has very simple taste. She prefers monochromatic color palettes, with the occasionally splash of color. Her home as well as her wardrobe are all very tasteful weather you like her style or not.', ""Their choices of what is appealing coincided with my own preferences. For instance, they chose colors that I didn't consider jarring or decor that wasn't overwhelming for the space or gaudy. My sister has good taste. She can walk into any room of any house and arrange the furniture and decor so that it is pleasing to the eye and feels appropriate. She has a natural ability to choose from the things available and arrange them so that if feels like they belong in the room naturally. She also can take one or two small objects or pieces of art and make the room feel balanced.""]"
2,18,2_clothes_good_taste_person,"['clothes', 'good', 'taste', 'person', 'dress', 'people', 'think', 'style', 'clothing', 'home']","[""This is kind of subjective.  What some people think is good taste other people think is poor taste. To me, good taste is something that is classic. People of all ages will generally like it, though they might not know why. It is quiet and solid, not bold and attention seeking. It does not embarrass people to look at it. If it is furniture, it is comfortable and sturdy. If it is an action, it is polite and respective, no matter what was said or done to them. My preacher's wife has good taste. Her home is decorated with simple, solid furniture, and she has a china cupboard that has family china inside. She dresses simply, and she is happy and interested in everyone she meets."", 'If someone can think about good clothing and latest fashion then we say he or she has a good taste.  My wife is having good taste, she get good clothes for me and for my family. We all are really like her good taste.', 'When people dress tastefully in good fashion.  Such as a trendy jeans and shirt.  It has good taste and style. This person has good taste because they can dress in style all the time.  Their clothes match and fits nicely.  Their shoes and watch are a good complement to their clothes.']"
3,12,3_think_audience_good_taste,"['think', 'audience', 'good', 'taste', 'person', 'lot', 'heshe', 'general', 'people', 'things']","['I think someone who has good taste is thoughtful and intentional about what, and how, they engage with style, art, culture, etc. Good taste is never the same across different people, but I think it has a lot more to do with character than something you can have materially. The first person that comes to mind is a famous actress I really like. Although I obviously don’t know her personally, I think the movies and things she has been throughout her career reflects good taste; as in, it feels like she chooses her projects very intentionally (although a little infrequently), and never haphazardly. Because of that, I believe her filmography is amazing and filled with great roles.', ""I think that a person who has good taste can easily influence a lot of people. I also think that they are very smart in knowing what their audience want. They follow modern trends and study the good and bad.  I think that one of my close friends has great taste because she likes to experiment with different styles and colors. She follows a lot of celebrities' social media and she has a lot of nice things. She can even make boring things looks better."", ""A person has a strong sense for design or aesthetic principles such that the person is able to create in such a way that speaks to people and evokes certain emotions. Really anyone who puts time into wanting to create something that speaks to and is generally perceived as 'good' by members of a specific audience. Taste is largely subjective, but also dependent upon the audience. So whereas one audience might perceive a MAGA hat as cheap and distasteful, another audience might look at it as extremely tasteful. If we're looking for a specific person here, I would say that Steve Jobs had good taste. He was able to create things that appealed to a lot of people such that they would use them, find them convenient, and pay money for them. I would call that tasteful in addition to successful.""]"
4,12,4_means_look_good_like,"['means', 'look', 'good', 'like', 'things', 'clothes', 'dress', 'accessories', 'picks', 'makes']","['It means that the things that they like are acceptable to me. That I either I like those things myself or that I can see why they would like said thing.  A friend of mine has very good taste in clothes. They wear things that fit their body and style, and they look great.', ""I think it means that people chose to do or see or say or dress or participate in a way that is morally good and not offensive to other people. They don't like things that are garish. They respect other people and interact with them as they would want others to interact with them. They are not exhibitionists.  I think my friend has good taste because she dress appropriately for her age. She is kind to others and she doesn't gossip about people. She like to read the same books I do and she enjoys the same type of movies. She has good self-control. She doesn't do wild and crazy things."", 'To mean it means that the someone being referred to makes or usually for the most part things which are very good in terms of quality or appearance.  In reality though it effectively usually means that the person who is being referred to makes choices usually aligned with mine.  A person who has good taste may also be someone who consistently chooses things which are just generally popular overall. I think RR has good taste because she always dresses well with nicely coordinated accessories.  The clothes she picks  are very fits well and the colors patterns seem to blend well.  She never dresses slovenly or wears clothes whose colors and patterns clash.']"
5,12,5_art_enjoys_good_hes,"['art', 'enjoys', 'good', 'hes', 'culture', 'artistic', 'person', 'tends', 'appreciate', 'new']","[""Someone who has an eye for different arts, music, and elements of life. Those who choose to try new arts out, and branch their tastes into new places. My partner. She enjoys cute art, good music, and we are always showing each other new things. Before quarantine, we'd visit the art museum often."", 'They appreciate art and culture that has enduring significance or meaning. They also appreciate artistic elements that share similar values as the culture at large. The person I am thinking of is a good judge of artistic merit, and her choices are designed to bring joy and enlightenment not just to herself, but to those around her.', 'It would be someone who enjoys things that make them think.  Things that also are lasting and not ephemeral that one enjoys are good taste to me.  Also I measure the time and effort one puts into something as showing they have good taste. Someone like Lord Kenneth Clark was a good example to me.  He loved art and wanted to show it to the masses.  At the same time he explained and did not try to bastardise the art that he spoke of.  He even enlightened me and made me want to learn more about art.']"
6,9,6_music_song_good_taste,"['music', 'song', 'good', 'taste', 'opinion', 'likes', 'appreciate', 'like', 'bmw', 'completely']","['Good taste would be the most popular music and actors. Or taste in media that has won multiple awards. I used to work with a person who had really good taste in music. He put me on to a lot of new artist that I had never heard of. Before long the music that he recommended had become mainstream and he was on to the next.', ""Someone would have good taste if that person likes something that I would like as well.  Let's say that I love a certain song and someone else likes that particular song, I would say you have good taste in music. My brother went out and gifted himself with a BMW.  I thought it was cool because those are nice cars with a lot of bells and whistles.  So to me he has good taste in cars because a BMW is a very luxurious car which I would love to have.  So he likes what I like."", ""In these situations they are typically talking about things I have my own opinion on. I think of good taste to be someone who has a reasonable take on a given topic. A friend of mine who doesn't like listening to metal music but who understands the value in it. He also understands the difficulty in performing and how there is a type of music for everyone. This is an example where I would completely disagree with their opinion, but that doesn't necessarily mean they have bad taste. They also enjoy other forms of music that I also enjoy.""]"
7,9,7_art_works_things_aesthetically,"['art', 'works', 'things', 'aesthetically', 'able', 'constructed', 'field', 'widely', 'eye', 'discerning']","['They have an affinity, whether natural or developed, for things that are widely regarded as having high quality or appeal within its domain. Their preferences are discerning and favor that which transcends passing trends and fads with enduring exemplariness.    I believe them to be capable of recognizing and appreciating things that are of a certain caliber.', ""Prefers things that are well constructed, whether it is a structure, or a work of art. Something that is constructed with a certain level of care and attention to detail, and works in harmony with it's surroundings. Michelangelo Buonarroti had a wide range of talents, and created timeless works in a variety of disciplines that have stood the test of time. He had an extremely developed sense of aesthetics"", 'Typically they have some education about the field of art and it has greatly impacted what they like and how much they value it. regardless of the field, it tends to allow them to value all artistic endeavors with a discerning eye or ear. My ex-wife has a English Degree and included art history and music appreciation in her studies. To a great degree we like the same things. She evaluates these things emotionally but her choices betray her underlaying knowledge.']"
8,7,8_humor_obama_does_things,"['humor', 'obama', 'does', 'things', 'coherent', 'comedy', 'consideration', 'taste', 'michelle', 'normally']","['It implies to me that they have a sense of beauty. They generally avoid vulgar and crude behavior.  While I might not agree with some aspects of what they appreciate and enjoy I can understand their reasoning for their taste. Michelle Obama has good taste.  Both in character and in works of art, books and poetry, and general preferences.  She has an appreciation for beauty and grace and for recognizing the efforts of others in their pursuits an work.  She recognizes art for what it represpents and aspirations it may bring forth', ""The person would choose comedy, for example, that does not include vulgarity, racism, or violence. Even if this person would normally choose this type of humor, he/she does not do so, out of consideration for those around them who might find these things objectionable. My friend, Ted. I've known him for over 30 years, and I've never heard him say a mean, hateful, spiteful, or racist thing - ever. He always shows the utmost consideration for others. By the way: he's 90 years old."", 'Normally when I describe things of being of good taste or bad taste, I really just mean to say that those who have good taste like the things that I like in a joking manner. Taste is subjective and judging whether or not someone has good or bad taste runs the risk of classism.  My friend Annie is British and her humor is incredibly sarcastic and witty. We both have the same taste in comedy and I can banter with her. Shows that she recommends are ones that I take seriously, such as the show The Inbetweeners. We have boyish, insulting humor.  Because we are so similar, I would say she has good taste.']"
